Borough,Year,AveragePrice
City of London,1998,93735.49208731229
City of London,1999,107275.50479766102
City of London,2000,120815.51750800977
City of London,2001,134355.5302183585
City of London,2002,147895.54292870723
City of London,2003,161435.55563905597
City of London,2004,174975.5683494047
City of London,2005,188515.58105975343
City of London,2006,202055.5937701022
City of London,2007,215595.6064804509
City of London,2008,229135.61919079965
City of London,2009,242675.63190114842
City of London,2010,256215.64461149712
City of London,2011,269755.6573218459
City of London,2012,283295.6700321946
City of London,2013,296835.6827425433
City of London,2014,310375.69545289205
City of London,2015,323915.70816324075
City of London,2016,337455.7208735895
City of London,2017,350995.7335839382
City of London,2018,364535.746294287
Barking & Dagenham,1998,220385.38260322064
Barking & Dagenham,1999,248902.19372072624
Barking & Dagenham,2000,277419.00483823183
Barking & Dagenham,2001,305935.8159557375
Barking & Dagenham,2002,334452.6270732431
Barking & Dagenham,2003,362969.4381907487
Barking & Dagenham,2004,391486.2493082543
Barking & Dagenham,2005,420003.0604257599
Barking & Dagenham,2006,448519.87154326553
Barking & Dagenham,2007,477036.6826607711
Barking & Dagenham,2008,505553.4937782767
Barking & Dagenham,2009,534070.3048957824
Barking & Dagenham,2010,562587.1160132879
Barking & Dagenham,2011,591103.9271307936
Barking & Dagenham,2012,619620.7382482991
Barking & Dagenham,2013,648137.5493658048
Barking & Dagenham,2014,676654.3604833104
Barking & Dagenham,2015,705171.171600816
Barking & Dagenham,2016,733687.9827183216
Barking & Dagenham,2017,762204.7938358271
Barking & Dagenham,2018,790721.6049533328
Barnet,1998,158913.66165936083
Barnet,1999,189602.89783931323
Barnet,2000,220292.13401926562
Barnet,2001,250981.370199218
Barnet,2002,281670.60637917044
Barnet,2003,312359.84255912283
Barnet,2004,343049.0787390752
Barnet,2005,373738.3149190276
Barnet,2006,404427.55109898
Barnet,2007,435116.7872789324
Barnet,2008,465806.0234588848
Barnet,2009,496495.2596388372
Barnet,2010,527184.4958187896
Barnet,2011,557873.731998742
Barnet,2012,588562.9681786944
Barnet,2013,619252.2043586468
Barnet,2014,649941.4405385992
Barnet,2015,680630.6767185515
Barnet,2016,711319.912898504
Barnet,2017,742009.1490784563
Barnet,2018,772698.3852584087
Bexley,1998,210223.73200956942
Bexley,1999,248856.00347208642
Bexley,2000,287488.2749346034
Bexley,2001,326120.54639712046
